"S No." "States/Union Territory" "Name of the District" "Sub Centres" PHCs CHCs "Sub Divisional Hospital" "District Hospital"
1 "Andhra Pradesh" Srikakulam 465 80 16 2 0
1 "Andhra Pradesh" Vizianagaram 431 68 11 1 1
1 "Andhra Pradesh" Visakhapatnam 583 89 11 2 0
1 "Andhra Pradesh" "East Godavari" 840 128 26 3 1
1 "Andhra Pradesh" "West Godavari" 635 91 14 3 1
1 "Andhra Pradesh" Krishna 593 88 12 2 1
1 "Andhra Pradesh" Guntur 680 86 17 2 1
1 "Andhra Pradesh" Prakasam 534 90 14 3 0
1 "Andhra Pradesh" Nellore 477 75 14 3 0
1 "Andhra Pradesh" Chittoor 644 103 13 5 1
1 "Andhra Pradesh" Kadapa 448 74 12 1 1
1 "Andhra Pradesh" Anantapur 586 88 15 3 0
1 "Andhra Pradesh" Kurnool 542 87 18 1 1
1 "Andhra Pradesh" Total 7458 1147 193 31 8
2 "Arunachal Pradesh" Tawang 15 6 2 0 1
2 "Arunachal Pradesh" "West Kameng" 26 5 5 0 1
2 "Arunachal Pradesh" "East Kameng" 49 11 3 0 1
2 "Arunachal Pradesh" "Papum Pare" 56 14 3 0 2
2 "Arunachal Pradesh" "Kurung Kumey" 25 6 2 0 1
2 "Arunachal Pradesh" "Lower Subansiri" 35 8 3 0 1
2 "Arunachal Pradesh" "Upper Subansiri" 58 15 5 0 1
2 "Arunachal Pradesh" "West Siang" 51 13 7 0 1
2 "Arunachal Pradesh" "East Siang" 22 10 4 0 1
2 "Arunachal Pradesh" "Upper Siang" 14 2 4 0 1
2 "Arunachal Pradesh" "Lower Dibang Valley" 19 6 4 0 1
2 "Arunachal Pradesh" "Dibang Valley" 10 1 0 0 1
2 "Arunachal Pradesh" Anjaw 41 7 5 0 1
2 "Arunachal Pradesh" Lohit 15 5 2 0 1
2 "Arunachal Pradesh" Changlang 35 8 5 0 1
2 "Arunachal Pradesh" Tirap 19 8 1 0 1
2 "Arunachal Pradesh" Longding 19 3 3 0 1
2 "Arunachal Pradesh" Namsai 14 4 3 0 0
2 "Arunachal Pradesh" "Kra Daadi" 34 7 1 0 0
2 "Arunachal Pradesh" Siang 23 4 1 0 0
2 "Arunachal Pradesh" Total 580 143 63 0 18
3 Assam Baksa 157 41 5 0 1
3 Assam Barpeta 264 51 6 1 1
3 Assam Bongaigaon 88 30 4 0 1
3 Assam Cachar 270 31 3 0 1
3 Assam Chirang 87 24 3 0 1
3 Assam Darrang 159 31 7 0 1
3 Assam Dhemaji 98 22 4 0 1
3 Assam Dhubri 246 43 6 2 1
3 Assam Dibrugarh 231 28 8 0 0
3 Assam "Dima Hasao" 65 10 2 0 1
3 Assam Goalpara 151 41 5 0 1
3 Assam Golaghat 144 40 4 1 1
3 Assam Hailakandi 105 13 3 0 1
3 Assam Jorhat 144 44 5 2 0
3 Assam "Kamrup (Metro)" 51 24 3 0 1
3 Assam "Kamrup (Rural)" 280 72 12 1 1
3 Assam "Karbi Anglong" 145 46 5 1 1
3 Assam Karimganj 217 31 7 0 1
3 Assam Kokrajhar 161 45 2 1 1
3 Assam Lakhimpur 156 32 8 1 1
3 Assam Morigaon 123 35 5 0 1
3 Assam Nagaon 352 83 17 0 1
3 Assam Nalbari 121 48 11 0 1
3 Assam Sivasagar 219 44 4 2 1
3 Assam Sonitpur 277 58 8 2 1
3 Assam Tinsukia 164 23 6 0 1
3 Assam Udalguri 146 24 5 0 1
3 Assam Total 4621 1014 158 14 25
4 Bihar Araria 242 38 2 1 1
4 Bihar Arwal 65 32 0 0 1
4 Bihar Aurangabad 254 72 6 1 1
4 Bihar Banka 239 42 4 0 1
4 Bihar Begusarai 292 40 2 4 1
4 Bihar Bhagalpur 362 70 4 2 1
4 Bihar Bhojpur 298 41 4 2 1
4 Bihar Buxar 160 39 1 1 1
4 Bihar Darbhanga 398 97 8 1 NA
4 Bihar E-Champaran 532 51 11 3 1
4 Bihar Gaya 261 64 9 2 1
4 Bihar Gopalganj 469 60 8 1 1
4 Bihar Jamui 185 36 6 0 1
4 Bihar Jehanabad 107 38 2 0 1
4 Bihar Kaimur 279 32 4 1 1
4 Bihar Katihar 175 30 4 2 1
4 Bihar Khagaria 327 57 1 0 1
4 Bihar Kishanganj 186 30 1 0 1
